ds,Forecast
2019-02-17,25734.852570729352
2019-02-18,25730.49736781535
2019-02-19,25739.300285337442
2019-02-20,25733.428528829936
2019-02-21,25700.521292696973
2019-02-22,25686.42148738992
2019-02-23,25640.478450828134
2019-02-24,25590.98888889652
2019-02-25,25536.20069690143
2019-02-26,25497.5661941641
2019-02-27,25448.1367484471
2019-02-28,25376.364042218906
2019-03-01,25328.815671204724
2019-03-02,25255.46390312791
2019-03-03,25185.1151277949
2019-03-04,25116.404869915365
2019-03-05,25071.04504509113
2019-03-06,25022.215510228863
2019-03-07,24958.365160816993
2019-03-08,24925.930193427375
2019-03-09,24874.62822027392
2019-03-10,24832.895562261576
2019-03-11,24798.892330529383
2019-03-12,24793.761667257517
2019-03-13,24790.03484857336
2019-03-14,24775.44712522946
2019-03-15,24795.671525229176
2019-03-16,24799.628904821795
2019-03-17,24814.94117871703
2019-03-18,24838.951959462363
2019-03-19,24892.000622155654
2019-03-20,24945.841177180453
2019-03-21,24987.470548677644
2019-03-22,25061.873253503993
2019-03-23,25117.340590915792
2019-03-24,25180.93115396904
2019-03-25,25249.49683032353
2019-03-26,25342.96030353587
2019-03-27,25432.735487452323
2019-03-28,25505.555592613655
2019-03-29,25606.215966683132
2019-03-30,25682.890005999383
2019-03-31,25762.585168200512
2019-04-01,25842.163496359928
2019-04-02,25941.61292346009
2019-04-03,26032.4610534983
2019-04-04,26101.596378799695
2019-04-05,26194.004324525835
2019-04-06,26258.076646780963
2019-04-07,26321.061416687902
2019-04-08,26380.078170357297
2019-04-09,26455.38462526235
2019-04-10,26518.786749783598
2019-04-11,26557.457192770802
2019-04-12,26616.669467801144
2019-04-13,26645.1063797214
2019-04-14,26670.309847145287
2019-04-15,26689.696586182024
2019-04-16,26723.82591053168
2019-04-17,26744.811218044204
2019-04-18,26740.140217320004
2019-04-19,26755.41062404685
2019-04-20,26739.64008395908
2019-04-21,26720.717049764724
2019-04-22,26696.416946022615
2019-04-23,26687.669720641876
2019-04-24,26666.9702717296
2019-04-25,26622.19647520748
2019-04-26,26599.341955292126
2019-04-27,26547.821872969074
2019-04-28,26495.91872367299
2019-04-29,26441.792505196725
2019-04-30,26406.741471084188
2019-05-01,26363.605114838545
2019-05-02,26300.574302845187
2019-05-03,26263.915920976047
2019-05-04,26203.270556634725
2019-05-05,26147.090470262465
2019-05-06,26093.64248798532
2019-05-07,26064.262300387803
2019-05-08,26031.75207255439
2019-05-09,25984.186524280856
2019-05-10,25967.63505908255
2019-05-11,25931.45864220316
2019-05-12,25903.74881789441
2019-05-13,25882.333585862445
2019-05-14,25888.03665755094
2019-05-15,25893.081977566355
2019-05-16,25884.908592401236
2019-05-17,25908.903311767528
2019-05-18,25913.70967486715
2019-05-19,25926.680373170064
2019-05-20,25944.89756537164
2019-05-21,25988.44728224302
2019-05-22,26028.839453068696
2019-05-23,26052.83826071739
2019-05-24,26105.209884015825
2019-05-25,26134.045752116966
2019-05-26,26166.22808454822
2019-05-27,26198.461795197363
2019-05-28,26250.55863131486
2019-05-29,26293.864793031982
2019-05-30,26315.09650334184
2019-05-31,26359.09040667793
2019-06-01,26374.126802776715
2019-06-02,26387.392438388233
2019-06-03,26396.006953379
2019-06-04,26420.29894067457
2019-06-05,26432.223022696722
2019-06-06,26419.182637015245
2019-06-07,26426.765692693167
2019-06-08,26404.05144117757
2019-06-09,26379.055666980043
2019-06-10,26349.73871324808
2019-06-11,26337.262745394226
2019-06-12,26314.390112822268
2019-06-13,26269.28796055572
2019-06-14,26240.64090160546
2019-06-15,26185.759516773036
2019-06-16,26133.19418671102
2019-06-17,26081.337112680343
2019-06-18,26051.670227277395
2019-06-19,26017.15688739263
2019-06-20,25966.042666035417
2019-06-21,25944.572945359494
2019-06-22,25902.28609800711
2019-06-23,25867.449695703945
2019-06-24,25838.06447522355
2019-06-25,25835.122555291113
2019-06-26,25831.011727634264
2019-06-27,25813.3308107083
2019-06-28,25827.623390694334
2019-06-29,25822.688319611825
2019-06-30,25826.03396380347
2019-07-01,25834.900470736844
2019-07-02,25869.536081341786
2019-07-03,25901.61885298064
2019-07-04,25918.088343856703
2019-07-05,25963.89417770285
2019-07-06,25987.319495452954
2019-07-07,26015.445976094874
2019-07-08,26045.18444367543
2019-07-09,26096.556903113393
2019-07-10,26141.121256257295
